bucket,n,accuracy,executable,meanAsk,meanJevEdge,meanPnl,winRate
300-120s,31512.00000,0.67612,31419.00000,0.66934,0.25208,0.00583,0.67516
120-60s,9378.00000,0.82150,8166.00000,0.75348,0.17610,0.04152,0.79500
60-30s,3459.00000,0.87135,1927.00000,0.70546,0.19562,0.06361,0.76907
30-15s,1412.00000,0.90227,382.00000,0.63588,0.24597,0.00286,0.63874
15-10s,460.00000,0.91739,77.00000,0.46822,0.42733,0.03827,0.50649
10-5s,441.00000,0.93424,55.00000,0.46442,0.42362,0.00831,0.47273
5-2s,313.00000,0.93610,29.00000,0.31176,0.63070,-0.00141,0.31034
<2s,424.00000,0.89387,50.00000,0.10456,0.88727,-0.00456,0.10000
