bucket,n,accuracy,executable,meanAsk,meanJevEdge,meanPnl,winRate
0-1bps,9845.00000,0.58974,9726.00000,0.56317,0.30609,0.02156,0.58472
1-2.5bps,10301.00000,0.65683,10045.00000,0.62685,0.27955,0.02123,0.64808
2.5-5bps,10940.00000,0.73026,10291.00000,0.70100,0.23383,0.01224,0.71324
5-10bps,9496.00000,0.84551,8032.00000,0.80515,0.15757,0.01220,0.81736
10-20bps,5282.00000,0.90307,3389.00000,0.84082,0.12894,0.00810,0.84892
20-50bps,1528.00000,0.94045,619.00000,0.89421,0.08710,-0.04122,0.85299
50bps+,7.00000,1.00000,3.00000,0.99000,-0.00163,0.01000,1.00000
