bucket,n,accuracy,executable,meanAsk,meanJevEdge,meanPnl,winRate
ABSTAIN,6490.00000,0.61171,6447.00000,0.59967,0.29669,0.00945,0.60912
ADD_COMPLEMENT,12082.00000,0.73837,11592.00000,0.71118,0.17780,0.01613,0.72731
BUY_DOWN,2189.00000,0.72773,2041.00000,0.65246,0.26087,0.05552,0.70799
BUY_UP,4084.00000,0.67899,4000.00000,0.67500,0.26061,-0.00275,0.67225
HOLD,22554.00000,0.77800,18025.00000,0.70565,0.24407,0.01657,0.72222
