bucket,n,accuracy,executable,meanAsk,meanJevEdge,meanPnl,winRate
<2bps,47286.00000,0.73432,42016.00000,0.68526,0.23649,0.01574,0.70099
2-5bps,112.00000,0.71429,88.00000,0.77761,0.13089,-0.14125,0.63636
5-10bps,1.00000,1.00000,1.00000,0.93000,0.05990,0.07000,1.00000
10-20bps,0.00000,,0.00000,,,,
20-50bps,0.00000,,0.00000,,,,
50bps+,0.00000,,0.00000,,,,
