bucket,n,accuracy,executable,meanAsk,meanJevEdge,meanPnl,winRate
<0.5,37948.00000,0.75098,33062.00000,0.70249,0.22060,0.01168,0.71417
0.5-0.7,8426.00000,0.66971,8018.00000,0.62511,0.29595,0.02780,0.65291
0.7-0.9,1025.00000,0.64683,1025.00000,0.60805,0.27467,0.03878,0.64683
0.9-0.99,0.00000,,0.00000,,,,
0.99+,0.00000,,0.00000,,,,
