bucket,n,accuracy,executable,meanAsk,meanJevEdge,meanPnl,winRate
<0.98,5480.00000,0.96606,186.00000,0.00895,0.91916,-0.00895,0.00000
0.98-0.99,0.00000,,0.00000,,,,
0.99-1.00,0.00000,,0.00000,,,,
1.00-1.01,120.00000,0.75000,120.00000,0.74863,0.21309,0.00137,0.75000
1.01-1.03,40151.00000,0.70636,40151.00000,0.69107,0.23160,0.01529,0.70636
1.03+,1648.00000,0.64260,1648.00000,0.62039,0.27447,0.02220,0.64260
